query_index,gt_rank,ap,precision_5,precision_10,recall_5,recall_10,f1_5,f1_10
1605,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1606,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1607,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1608,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1609,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610,8,0.125,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1611,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1612,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1613,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1614,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615,5,0.2,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1616,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617,9,0.1111111111111111,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1618,5,0.2,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1619,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1621,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1622,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1623,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1624,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1625,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627,6,0.16666666666666666,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1628,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1632,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1633,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1634,5,0.2,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1635,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1636,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1637,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1638,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1640,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1641,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1642,5,0.2,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1643,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1644,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1645,2,0.5,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1646,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1647,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1648,3,0.3333333333333333,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1649,3,0.3333333333333333,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1650,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1651,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1652,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653,1,1.0,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1654,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1655,4,0.25,0.2,0.1,1.0,1.0,0.33333333333333337,0.18181818181818182
1656,9,0.1111111111111111,0.0,0.1,0.0,1.0,0.0,0.18181818181818182
1657,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1658,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
